#LIBRARY    ENDF/B-VIII.0
#REACTION   H-2(D,N`)HE-3-L0,SIG
#NUCLEUS    H-2
#MF         3
#MT         50
#EN-MIN     100
#EN-MAX     1e+07
#E,eV        Sig,b        Interpolation
 1.04881E+06 0.0943909    Lin-Lin
 1.249E+06   0.0973516    Lin-Lin
 1.5E+06     0.10052      Lin-Lin
 1.7E+06     0.102397     Lin-Lin
 1.9E+06     0.103788     Lin-Lin
 2.1E+06     0.10455      Lin-Lin
 2.4E+06     0.104804     Lin-Lin
 2.8E+06     0.10437      Lin-Lin
 3.4E+06     0.102618     Lin-Lin
 5E+06       0.096621     Lin-Lin
 6E+06       0.092854     Lin-Lin
 7E+06       0.089473     Lin-Lin
 8E+06       0.085752     Lin-Lin
 8.5E+06     0.0843095    Lin-Lin
 9E+06       0.083193     Lin-Lin
 9.5E+06     0.082659     Lin-Lin
 1E+07       0.082559     Lin-Lin
#END
