#LIBRARY    ENDF/B-VII.1
#REACTION   HE-3(T,D`)HE-4-L0,SIG
#NUCLEUS    He-3
#MF         3
#MT         650
#EN-MIN     1000
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 6E+06       0.024251     Lin-Lin
 9E+06       0.028262     Lin-Lin
 1.04881E+07 0.0301246    Lin-Lin
 1.14891E+07 0.0312559    Lin-Lin
 1.249E+07   0.0322532    Lin-Lin
 1.3E+07     0.032717     Lin-Lin
 1.4E+07     0.033457     Lin-Lin
 1.5E+07     0.033983     Lin-Lin
 1.6E+07     0.034263     Lin-Lin
 1.7E+07     0.034265     Lin-Lin
 1.8E+07     0.033956     Lin-Lin
 1.9E+07     0.033305     Lin-Lin
 2E+07       0.03228      Lin-Lin
#END
