#LIBRARY    ENDF/B-VIII.0
#REACTION   H-2(D,P`)H-3-L0,SIG
#NUCLEUS    H-2
#MF         3
#MT         600
#EN-MIN     100
#EN-MAX     1e+07
#E,eV        Sig,b        Interpolation
 23935.9     0.000553845  Lin-Lin
 24621.1     0.000612152  Lin-Lin
 25511       0.000692516  Lin-Lin
 26280.5     0.000766182  Lin-Lin
 27164.7     0.000855535  Lin-Lin
 27847.4     0.000927888  Lin-Lin
 28903.7     0.00104549   Lin-Lin
 30000       0.0011746    Lin-Lin
 31098.4     0.00131192   Lin-Lin
 32537.4     0.00150208   Lin-Lin
 33792.7     0.00167705   Lin-Lin
 35247.8     0.00188982   Lin-Lin
 36380.1     0.00206235   Lin-Lin
 38147.2     0.00234293   Lin-Lin
 40000       0.0026508    Lin-Lin
 42294.9     0.00305319   Lin-Lin
 44102       0.0033825    Lin-Lin
 46958.5     0.00392229   Lin-Lin
 50000       0.0045187    Lin-Lin
 54772.3     0.00549956   Lin-Lin
 60000       0.0066081    Lin-Lin
 70000       0.0087999    Lin-Lin
 84852.8     0.0120928    Lin-Lin
 94868.3     0.0142721    Lin-Lin
 110668      0.0176648    Lin-Lin
 119410      0.0194614    Lin-Lin
 126416      0.0208391    Lin-Lin
 137704      0.0229393    Lin-Lin
 150000      0.02506      Lin-Lin
 161185      0.0270615    Lin-Lin
 170119      0.0285679    Lin-Lin
 184455      0.0308202    Lin-Lin
 211474      0.0347382    Lin-Lin
 229932      0.0372409    Lin-Lin
 250000      0.039674     Lin-Lin
 300000      0.045267     Lin-Lin
 350000      0.050048     Lin-Lin
 400000      0.054171     Lin-Lin
 450000      0.057752     Lin-Lin
 500000      0.060878     Lin-Lin
 550000      0.063616     Lin-Lin
 600000      0.066023     Lin-Lin
 650000      0.068143     Lin-Lin
 724569      0.0708377    Lin-Lin
 800000      0.073137     Lin-Lin
 900000      0.075593     Lin-Lin
 1E+06       0.077536     Lin-Lin
 1.1E+06     0.07908      Lin-Lin
 1.249E+06   0.0808065    Lin-Lin
 1.5E+06     0.082866     Lin-Lin
 2.1E+06     0.0868008    Lin-Lin
 2.4E+06     0.0880739    Lin-Lin
 2.8E+06     0.0891675    Lin-Lin
 3.2E+06     0.0897054    Lin-Lin
 3.4E+06     0.0897995    Lin-Lin
 3.89872E+06 0.0895922    Lin-Lin
 4.5E+06     0.0888896    Lin-Lin
 5E+06       0.088017     Lin-Lin
 5.5E+06     0.0868432    Lin-Lin
 7.74597E+06 0.0800995    Lin-Lin
 9E+06       0.076912     Lin-Lin
 1E+07       0.074896     Lin-Lin
#END
