#LIBRARY    ENDF/B-VIII.0
#REACTION   HE-3(D,P`)HE-4-L0,SIG
#NUCLEUS    He-3
#MF         3
#MT         600
#EN-MIN     800
#EN-MAX     1.4e+06
#E,eV        Sig,b        Interpolation
 71680       0.00530548   Lin-Lin
 73558.7     0.00595112   Lin-Lin
 75000       0.0064787    Lin-Lin
 76219.9     0.00695082   Lin-Lin
 78087.1     0.00771424   Lin-Lin
 80000       0.0085483    Lin-Lin
 82150.2     0.00955726   Lin-Lin
 84039.3     0.0105011    Lin-Lin
 86223.3     0.0116563    Lin-Lin
 88091.4     0.0127114    Lin-Lin
 90610.3     0.0142358    Lin-Lin
 93093.2     0.0158343    Lin-Lin
 96226.1     0.0180159    Lin-Lin
 98725.9     0.0198812    Lin-Lin
 102411      0.0228187    Lin-Lin
 104258      0.0243856    Lin-Lin
 107091      0.02694      Lin-Lin
 110000      0.029762     Lin-Lin
 113340      0.0331187    Lin-Lin
 115675      0.0356219    Lin-Lin
 118541      0.0388767    Lin-Lin
 122425      0.0435208    Lin-Lin
 126156      0.0482756    Lin-Lin
 130000      0.05355      Lin-Lin
 132431      0.056983     Lin-Lin
 136163      0.0625496    Lin-Lin
 141213      0.0706229    Lin-Lin
 144290      0.0757793    Lin-Lin
 148072      0.0824664    Lin-Lin
 152440      0.0905773    Lin-Lin
 157439      0.10041      Lin-Lin
 162443      0.110852     Lin-Lin
 167443      0.121874     Lin-Lin
 172447      0.133514     Lin-Lin
 177446      0.145742     Lin-Lin
 184932      0.165169     Lin-Lin
 192452      0.186065     Lin-Lin
 200000      0.20842      Lin-Lin
 207454      0.231675     Lin-Lin
 214942      0.256301     Lin-Lin
 224944      0.291028     Lin-Lin
 237460      0.337098     Lin-Lin
 250000      0.38568      Lin-Lin
 264953      0.445228     Lin-Lin
 290000      0.54603      Lin-Lin
 300000      0.5847       Lin-Lin
 310000      0.62164      Lin-Lin
 320000      0.65629      Lin-Lin
 330000      0.68815      Lin-Lin
 340000      0.71679      Lin-Lin
 350000      0.74186      Lin-Lin
 360000      0.76314      Lin-Lin
 370000      0.7805       Lin-Lin
 380000      0.79392      Lin-Lin
 390000      0.80349      Lin-Lin
 404000      0.81075      Lin-Lin
 413000      0.81191      Lin-Lin
 427493      0.808554     Lin-Lin
 440000      0.8014       Lin-Lin
 454973      0.788049     Lin-Lin
 474974      0.764868     Lin-Lin
 500000      0.72992      Lin-Lin
 524404      0.689787     Lin-Lin
 550000      0.65186      Lin-Lin
 574456      0.612778     Lin-Lin
 612127      0.55847      Lin-Lin
 637122      0.524921     Lin-Lin
 662155      0.493967     Lin-Lin
 687150      0.465385     Lin-Lin
 712178      0.439202     Lin-Lin
 737175      0.415196     Lin-Lin
 762199      0.393233     Lin-Lin
 787196      0.373125     Lin-Lin
 812217      0.354701     Lin-Lin
 850000      0.32967      Lin-Lin
 887231      0.308025     Lin-Lin
 912248      0.294875     Lin-Lin
 950000      0.27688      Lin-Lin
 987259      0.261159     Lin-Lin
 1.02411E+06 0.247319     Lin-Lin
 1.06138E+06 0.234682     Lin-Lin
 1.1E+06     0.22269      Lin-Lin
 1.14891E+06 0.209563     Lin-Lin
 1.2E+06     0.19721      Lin-Lin
 1.249E+06   0.187006     Lin-Lin
 1.3E+06     0.17733      Lin-Lin
 1.3743E+06  0.165304     Lin-Lin
 1.4E+06     0.16148      Lin-Lin
#END
